Liquefied?;Data Class;Critical Depth Upper Bound (ft);Critical Depth Lower Bound (ft);Critical Depth (ft);Critical Depth (m);s critical depth (ft);Water Depth (ft);s water table (ft);sg1 (pcf);sv (psf);s sv (psf);sv' (psf) ;s sv' (psf);rss';rd;s rd;a max (g);s a max;Magnitude for KMw;s CSRN;D50 (mm) ;FC %;N (mean);SPT Correction (Energy+Rod length) ;(N1) 60;s (N1)60 ;V*s,40ft (fps)
No;B;25;14;19,5;5,9;1,8;14;0,3;3;2200;224,6002004;1856,8;115,9082758;0,968811459;0,831937285;0,08;0,14;0,04;6,5;0,02;0,34;5;9,15;1,01;9,3;2;525
No;B;19,7;9,8;14,8;4,5;1,6;8;0,3;3;1691,653543;199,366035;1269,593701;100,8110841;0,972251865;0,941230698;0,06;0,14;0,04;6,5;0,03;0,25;10;7,3;1,27;9,3;2,2;600
No;B;13,1;9,8;11,5;3,5;0,6;5,6;0,3;3;1233,088583;67,90556491;866,6400787;40,36714686;0,859559814;0,980417271;0,05;0,12;0,04;6,5;0,03;0,4;10;2,95;1,36;4;1,8;670
No;B;10;6;8;2,4;0,7;4,3;0,3;3;893,3727034;85,3812589;660,3144357;46,44162398;0,928793387;0,995191752;0,04;0,12;0,04;6,5;0,03;1,6;7;11,4;1,64;18,7;2,2;750
No;B;13,1;6,6;9,8;3;1,1;0,9;0,3;3;1172,572178;134,0339719;611,6272966;70,34895382;0,949541841;0,982927684;0,05;0,12;0,04;6,5;0,04;1,2;12;7,1;1,57;11,2;1,5;660
No;B;18;5,9;12;3,7;2;6;0,3;3;1257,545932;224,0155207;882,9002625;100,8306204;0,975337095;0,974288212;0,05;0,12;0,04;6,5;0,03;0,04;60;2;1,35;2,7;1,2;650
No;B;18;6,6;12,3;3,8;1,9;2,8;0,3;3;1420,603675;231,6546433;826,9028871;114,8848789;0,981644522;0,964145989;0,05;0,12;0,04;6,5;0,03;0,4;0;8,75;1,4;12,3;4,7;620
No;B;23;4,6;13,8;4,2;3,1;4,6;0,3;3;3015,475066;384,005739;2442,246719;194,9112651;0,992626294;0,972368757;0,06;0,2;0,06;7,7;0,06;0,18;10;23,4;1,01;23,5;2,7;650
No;B;18;10;14;4,3;1,3;10;3;3;1582,677165;166,8291684;1331,685039;178,1057783;0,294651954;0,990989934;0,06;0,28;0,08;7,7;0,09;0,41;0;13,15;1,37;18;6,9;760
No;B;20;10;15;4,6;1,7;8;0,3;3;1755;210,8080354;1318,2;110,0211473;0,978260106;0,967227874;0,06;0,24;0,07;7,7;0,07;0,12;26;11,9;1,25;14,9;2,9;650
No;B;13,1;6,6;9,8;3;1,1;3;0,3;3;1186,023622;138,6119872;756,1023622;73,44858654;0,962622596;0,991921125;0,05;0,32;0,1;7,7;0,12;0,28;4;15,75;1,58;24,9;6,4;720
No;B;29,5;19,7;24,6;7,5;1,6;4,3;0,5;3;3054,461942;214,337063;1785,170604;123,5175571;0,939502322;0,977099256;0,1;0,24;0,07;7,7;0,1;0,35;17;20,45;1,2;24,6;8;780
No;B;24,6;14,8;19,7;6;1,6;7,1;0,3;3;2354,822835;209,6437769;1566,633858;112,3887981;0,970928805;0,97000395;0,08;0,24;0,07;7,7;0,09;0,6;0;21,1;1,23;26;2,3;710
No;A;16,4;5,9;11,2;3,4;1,7;5,9;0,3;3;1246,71916;220,1311608;919,160105;112,6319994;0,985560347;0,82;0,01;0,47;0,07;6,53;0,07;0,11;13;32,85;1,42;46,5;3,7;*
