Liquefied?;Data Class;Critical Depth Upper Bound (ft);Critical Depth Lower Bound (ft);Critical Depth (ft);Critical Depth (m);s critical depth (ft);Water Depth (ft);s water table (ft);sg1 (pcf);sv (psf);s sv (psf);sv' (psf) ;s sv' (psf);rss';rd;s rd;a max (g);s a max;Magnitude for KMw;s CSRN;D50 (mm) ;FC %;N (mean);SPT Correction (Energy+Rod length) ;(N1) 60;s (N1)60 ;V*s,40ft (fps)
No;B;32,8;23;27,9;8,5;1,6;4,9;0,3;3;3362,860892;216,9507519;1929,790026;125,0441421;0,95610444;0,89954946;0,11;0,6;0,12;6,9;0,13;0;10;30,6;1,27;39;5,8;700
No;B;16,4;9,8;13,1;4;1,1;3,9;0,3;3;1541,994751;140,152047;968,7664042;75,57571139;0,960478365;0,988447718;0,06;0,6;0,12;6,9;0,12;0;0;35,75;1,59;57;5,9;760
No;B;16,4;6,6;11,5;3,5;1,6;4,6;0,3;3;1320,538058;206,6878566;890,6167979;106,2463118;0,983152062;0,983682087;0,05;0,5;0,1;6,9;0,09;0;6,25;18,75;1,63;30,5;3,6;700
No;B;29,5;23;26,2;8;1,1;6,6;0,3;3;3116,7979;150,3948211;1888,451444;93,20780066;0,93804448;0,900962129;0,1;0,5;0,1;6,9;0,1;0;50;21,6;1,29;27,8;2;680
No;B;13,1;9,8;11,5;3,5;0,5;3,1;0,3;3;1358,267717;73,81440448;834,1732283;44,92291263;0,897473876;0,972133304;0,05;0,6;0,12;6,9;0,12;0;2,5;20,05;1,68;33,7;1,8;650
No;B;16,4;13,1;14,8;4,5;0,5;8,5;0,3;3;1865,15748;80,46163935;1476,181102;52,75176095;0,912024173;0,998536316;0,06;0,6;0,12;6,9;0,1;0;0;47;1,32;61,9;3,7;950
No;B;18;9,8;13,9;4,3;1,4;6,7;0,3;3;1642,060367;173,4797385;1191,666667;91,6587374;0,970688337;0,987138379;0,06;0,4;0,08;6,9;0,07;0;1,33;27,8;1,45;40,4;4,4;750
No;B;13,1;9,8;11,5;3,5;0,5;9,2;0,3;3;1389,435696;74,03415754;1246,128609;47,69903828;0,883738151;0,995257298;0,05;0,6;0,12;6,9;0,08;0;0;31,1;1,38;42,8;10,8;820
No;B;24;14,1;19;5,8;1,6;7,5;0,3;3;2340,879265;209,1601443;1624,343832;111,986672;0,970418673;0,886679126;0,08;0,4;0,08;6,9;0,07;0;24,67;16,7;1,31;21,9;3,9;580
No;B;39,4;16,4;27,9;8,5;3,8;16,4;0,3;3;3239,829396;482,2331602;2523,293963;247,4350103;0,990499312;0,873037375;0,11;0,4;0,08;6,9;0,06;0,4;20;20,25;1,11;22,6;4,2;660
No;B;49,2;16,4;32,8;10;5,5;16,4;0,3;3;3854,986877;687,0572185;2831,364829;349,5939315;0,993980992;0,822421825;0,13;0,4;0,08;6,9;0,07;0,4;20;18,2;1,05;19,1;3,4;660
No;B;45,9;16,4;31,2;9,5;4,9;16,4;0,3;3;3723,753281;643,2085946;2802,493438;339,4399759;0,994555843;0,961626781;0,12;0,4;0,08;6,9;0,07;0,4;20;31;1,06;32,8;7,1;820
